tid,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,label
33gVbwdqw7aRX0Y2zM7qm3,0.52,0.305,7,-14.38,1,0.0322,0.605,0.899,0.16,0.0389,120.109,0
2QerGrNeDLsJgMqpIRhjih,0.171,0.168,7,-18.597,0,0.0327,0.811,0.918,0.111,0.119,85.183,0
0n2X57zaddr0ODIxUb64Sx,0.632,0.469,11,-10.513,0,0.0307,0.224,0.854,0.0902,0.316,128.0,0
58Z8R4KZPbfTc6KVYZLwTb,0.368,0.293,9,-16.379,1,0.0346,0.81,0.864,0.11,0.197,119.977,0
0b6iQfSLnYGz5VCzwndLz9,0.395,0.147,2,-19.174,0,0.051,0.984,0.909,0.0724,0.167,164.176,0
24PDuLZfLOKtAgh4axr36e,0.449,0.163,11,-16.409,0,0.0361,0.58,0.908,0.114,0.0501,125.088,0
6jFX2sHOzh7tpIIOomlrqJ,0.438,0.404,6,-13.924,1,0.039,0.855,0.881,0.11,0.4,116.142,0
7hJZMJqFRlypzSlxC7Kn8n,0.205,0.202,1,-15.952,1,0.0427,0.98,0.85,0.128,0.086,113.057,0
08qO8i2K0Hxl0h8PIncyuH,0.44,0.384,7,-12.331,1,0.0453,0.827,0.934,0.156,0.0912,127.938,0
1sVIrkPZob1Ul6aIqy8n8z,0.234,0.226,0,-15.991,1,0.0368,0.848,0.942,0.111,0.0388,139.921,0
30ACOtgBj1PqZs1erzFZkU,0.198,0.139,5,-18.72,1,0.031,0.854,0.856,0.0773,0.106,82.405,0
7oXWUVH2t0UR11AvhhY8GQ,0.444,0.382,2,-9.324,1,0.0397,0.00308,0.816,0.0915,0.197,123.59,0
44Co96UhNfnq258r2VybLE,0.186,0.271,7,-17.149,1,0.0449,0.886,0.961,0.141,0.0684,115.896,0
0T3UHut7JmCi5jcgYiMawm,0.444,0.497,5,-12.601,1,0.0383,0.449,0.722,0.081,0.25,99.093,0
3rRL23xxAPJ75K3wGBKZIO,0.42,0.272,4,-14.843,1,0.0423,0.886,0.834,0.0841,0.38,180.031,0
2jpL7mFOMzRnbaSj790BfQ,0.545,0.253,2,-17.953,0,0.033,0.771,0.922,0.108,0.0529,115.848,0
7rpGOF9MwCP2Oaz9yDO452,0.465,0.12,7,-19.328,1,0.0386,0.633,0.937,0.085,0.0659,72.021,0
02QoKc20zzH9A8mf25NfPq,0.616,0.292,2,-16.837,0,0.0423,0.966,0.927,0.0955,0.0633,127.008,0
07EmFV0AOKNsbtNonzmMJj,0.438,0.073,1,-21.944,1,0.0411,0.968,0.755,0.0935,0.0668,79.973,0
4fItBSHKBcgKWixN1Idie5,0.247,0.231,1,-19.639,0,0.0328,0.622,0.87,0.0878,0.0485,174.014,0
32dZxkZtsF5Vt3PrJQuV2i,0.479,0.346,9,-17.916,0,0.0306,0.918,0.929,0.111,0.23,143.965,0
1yJXNOEP2bq1N1691n37oS,0.609,0.157,0,-15.792,1,0.0322,0.985,0.792,0.112,0.0698,111.966,0
42BtxDRqFTbE6Jb6rd9QOZ,0.265,0.035,4,-26.502,0,0.0359,0.906,0.89,0.0932,0.0651,132.972,0
4CFlaEtdgeu4mFmnUApAyl,0.446,0.0586,8,-26.416,1,0.0416,0.801,0.85,0.0876,0.111,124.019,0
6UesrqZXshkMjY07kVnlkU,0.425,0.168,0,-14.064,1,0.0322,0.967,0.818,0.16,0.0376,90.076,0
